image_id,id,caption_words,caption_digits
97679,689685,Two car facing opposite side to side in overcast day.,2 car facing opposite side to side in overcast day.
360951,695028,this si a desk with two computers on it.,this si a desk with 2 computers on it.
175364,695751,"A kitchen with two stoves, an island, and appliances.","A kitchen with 2 stoves, an island, and appliances."
59920,695754,"A bathroom with two toilets and a shower in it, with no space for any of them.","A bathroom with 2 toilets and a shower in it, with no space for any of them."
175364,696279,this is a kitchen with two stoves and a table.,this is a kitchen with 2 stoves and a table.
178982,696877,there are two people on motorcycles approaching a tunnel.,there are 2 people on motorcycles approaching a tunnel.
178982,701113,Two motorcycles going through the tunnel at night.,2 motorcycles going through the tunnel at night.
402473,705501,there are two cats that are laying with each other.,there are 2 cats that are laying with each other.
402473,705882,Two cats laying together on a bed or floor.,2 cats laying together on a bed or floor.
509260,706593,A old television set is displaying an old computer game in front of two bookshelves.,A old television set is displaying an old computer game in front of 2 bookshelves.
402473,706602,Two different color cats laying beside each other.,2 different color cats laying beside each other.
402473,707445,two cats in a room next to a white wall.,2 cats in a room next to a white wall.
507975,720267,three men riding horses through a grassy field.,3 men riding horses through a grassy field.
193926,721954,Four different photos of bananas and banana holders.,4 different photos of bananas and banana holders.
507975,723159,three horses and three jockeys are racing near a silver car.,3 horses and 3 jockeys are racing near a silver car.
89556,724053,Two silver cars parked beside each other in parking spots.,2 silver cars parked beside each other in parking spots.
507975,725553,Three jockeys and three horses competing in a race against each other.,3 jockeys and 3 horses competing in a race against each other.
239627,726678,Two sinks in a kitchen with dirty dishes in them.,2 sinks in a kitchen with dirty dishes in them.
111951,730034,Modern bathroom with two sinks a toilet and a shower.,Modern bathroom with 2 sinks a toilet and a shower.
266206,730840,The bathroom door has three panels of frosted glass.,The bathroom door has 3 panels of frosted glass.
68093,732655,Two people posing together outside with their motorcycle.,2 people posing together outside with their motorcycle.
370208,739786,The ten speed bike is attached to the pole.,The 10 speed bike is attached to the pole.
234807,739907,Two horses standing around n a field near a brick building.,2 horses standing around n a field near a brick building.
192699,742733,Two people stand near a bike wearing helmets.,2 people stand near a bike wearing helmets.
383676,746658,two giraffes taking turns eating leaves from a tree.,2 giraffes taking turns eating leaves from a tree.
504074,762988,Two women sitting together in the back yard.,2 women sitting together in the back yard.
504074,764059,"Two people sitting outside, one with a laptop.","2 people sitting outside, 1 with a laptop."
206271,767030,The two urinals are on the wall with color tiles.,The 2 urinals are on the wall with color tiles.
508482,768159,Train stopped at the platform has it's doors opened on one side.,Train stopped at the platform has it's doors opened on 1 side.
283785,768243,Two men dressed as animals entertaining a group of children.,2 men dressed as animals entertaining a group of children.
206271,768356,Two urinals in a restroom with multicolored tile.,2 urinals in a restroom with multicolored tile.
206271,768962,"A view of a bathroom, with two urinals in it.","A view of a bathroom, with 2 urinals in it."
577932,770382,Two people walking down the street one of which is riding a pink bike.,2 people walking down the street 1 of which is riding a pink bike.
206271,770492,Two wall mounted urinals sitting next to trash cans.,2 wall mounted urinals sitting next to trash cans.
85376,774150,two green and black motorcycles parked and some cars.,2 green and black motorcycles parked and some cars.
262682,779797,Two sinks that are in a kitchen near a window.,2 sinks that are in a kitchen near a window.
206271,779966,two urinals near one another with trash cans.,2 urinals near 1 another with trash cans.
131386,791172,A row of four trick Navy Planes flying in sequence.,A row of 4 trick Navy Planes flying in sequence.
35770,797290,a bathroom with three toilets and a big sink.,a bathroom with 3 toilets and a big sink.
261888,800197,A bicyclist waiting in the roadway until two horses pass.,A bicyclist waiting in the roadway until 2 horses pass.
261888,803818,a bicyclist rests on a bike on an empty highway with two horses walking alone up the street.,a bicyclist rests on a bike on an empty highway with 2 horses walking alone up the street.
575970,804321,A neatly arranged room with two lights.,A neatly arranged room with 2 lights.
281693,804833,an airline with airplanes from one world parked on the air field.,an airline with airplanes from 1 world parked on the air field.
575970,806373,Three bar stools in a kitchen with a black refrigerator.,3 bar stools in a kitchen with a black refrigerator.
534664,813298,The luggage suitcases with tags on them are stacked near one another.,The luggage suitcases with tags on them are stacked near 1 another.
129756,821521,An old shepherd with two dogs watching his sheep on a hill.,An old shepherd with 2 dogs watching his sheep on a hill.
479126,821945,Two girls are smoking cigarettes while one is playing on the laptop.,2 girls are smoking cigarettes while 1 is playing on the laptop.
210032,825720,This is two birds pecking at the remnants of a burger at an outdoor restaurant.,This is 2 birds pecking at the remnants of a burger at an outdoor restaurant.
6213,826351,"A bathroom has two sinks, a bathtub, and a shower.","A bathroom has 2 sinks, a bathtub, and a shower."
192699,826511,Two people in BMX gear in a redwood forest.,2 people in BMX gear in a redwood forest.
6213,827023,The bathroom had a tub with two sinks and a separate shower.,The bathroom had a tub with 2 sinks and a separate shower.
192699,827261,Two people wearing helmets while riding their motorcycles.,2 people wearing helmets while riding their motorcycles.
370208,827956,Someone has parked a classic orange ten speed bicycle.,Someone has parked a classic orange 10 speed bicycle.
192699,828424,Two people wearing helmets riding motor bikes in the woods.,2 people wearing helmets riding motor bikes in the woods.
394611,5720,Two tall giraffes graze on bushes in an open field.,2 tall giraffes graze on bushes in an open field.
394611,6122,Two giraffes eat from a tree in the wild.,2 giraffes eat from a tree in the wild.
394611,9488,Two giraffes browsing on a bush under a cloudy sky.,2 giraffes browsing on a bush under a cloudy sky.
439593,14023,Two trains parked at a train station as passenger wait to board them.,2 trains parked at a train station as passenger wait to board them.
581100,18281,Two giraffes and several other large animals roam a tropical zoo paddock.,2 giraffes and several other large animals roam a tropical zoo paddock.
581100,18752,Two giraffe's and a water buffalo in a zoo type environment.,2 giraffe's and a water buffalo in a zoo type environment.
353518,20113,Five boats sitting on the beach by the ocean.,5 boats sitting on the beach by the ocean.
581100,20669,two giraffe are standing and the other animals are walking.,2 giraffe are standing and the other animals are walking.
344059,22001,Two tall giraffes standing next to each other by trees.,2 tall giraffes standing next to each other by trees.
344059,22967,Two giraffes nudging over a pole in a forested area.,2 giraffes nudging over a pole in a forested area.
581100,23177,Two giraffes looking at the other animals in the enclosure.,2 giraffes looking at the other animals in the enclosure.
344059,25451,Two giraffes eat from a tall food post in their enclosure.,2 giraffes eat from a tall food post in their enclosure.
344059,26870,Two giraffe standing in a field next to trees.,2 giraffe standing in a field next to trees.
228771,29747,Two street signs side by side on a street corner.,2 street signs side by side on a street corner.
228771,32168,Street signs with two street names showing Little Italy district.,Street signs with 2 street names showing Little Italy district.
228771,36350,Street signs show the intersection of two city streets.,Street signs show the intersection of 2 city streets.
345361,40382,Four children at an outdoor party wearing festive hats.,4 children at an outdoor party wearing festive hats.
345361,40730,Four children sit eating birthday cake at a picnic table.,4 children sit eating birthday cake at a picnic table.
420472,48461,Two giraffes are eating a leafy branch together.,2 giraffes are eating a leafy branch together.
578967,48500,A three car passenger train on the train tracks.,A 3 car passenger train on the train tracks.
420472,48956,Two zebras eat a piece of a plant.,2 zebras eat a piece of a plant.
420472,49640,Two giraffes eating some crop during the day.,2 giraffes eating some crop during the day.
315450,50481,Two large buses traveling down a busy city street.,2 large buses traveling down a busy city street.
436551,51484,two black birds are swimming in some water.,2 black birds are swimming in some water.
420472,52946,Two giraffe's fighting over a piece of food.,2 giraffe's fighting over a piece of food.
420472,53600,Two giraffes share a branch that they are eating.,2 giraffes share a branch that they are eating.
436551,55207,Two black geese are swimming in cloudy water.,2 black geese are swimming in cloudy water.
327890,57115,photo of three benches for sitting facing each other.,photo of 3 benches for sitting facing each other.
327890,58030,Three empty park benches sitting next to orange and pink walls.,3 empty park benches sitting next to orange and pink walls.
327890,59131,Three empty benches face each other beneath a canopy.,3 empty benches face each other beneath a canopy.
459437,59531,Four sheep standing against a fence looking at a man with a red bowl.,4 sheep standing against a fence looking at a man with a red bowl.
436551,60205,Two black swans are floating in a lake.,2 black swans are floating in a lake.
171298,61589,Three yellow coach buses parked in a line.,3 yellow coach buses parked in a line.
365655,63597,One woman standing behind large specialized bus in mountains by glacier.,1 woman standing behind large specialized bus in mountains by glacier.
417779,68086,A fire hydrant stands at the corner of two city streets.,A fire hydrant stands at the corner of 2 city streets.
445365,68133,Two giraffes are shown standing in a grassy field.,2 giraffes are shown standing in a grassy field.
445365,69630,"Two giraffes, one looking toward the camera, stand on some grass.","2 giraffes, 1 looking toward the camera, stand on some grass."
423617,69969,"Two buses and a taxi go down a street,.","2 buses and a taxi go down a street,."
423617,70155,Two city buses traveling down a rain covered road way.,2 city buses traveling down a rain covered road way.
349302,70424,The two giraffes are standing in the dirt.,The 2 giraffes are standing in the dirt.
445365,70482,The two giraffes are standing in a pasture.,The 2 giraffes are standing in a pasture.
349302,71888,two giraffes standing under a tree to get some shade.,2 giraffes standing under a tree to get some shade.
349302,74426,Two giraffes standing next to power lines in the sand.,2 giraffes standing next to power lines in the sand.
349302,74615,TWO GIRAFFES STANDING IN THE SHADE OF A TREE.,2 GIRAFFES STANDING IN THE SHADE OF A TREE.
445365,74847,Two giraffe standing in a green grass covered field.,2 giraffe standing in a green grass covered field.
520009,75214,TWO PEOPLE ARE WALKING NEAR A MINI TRUCK IN A STREET.,2 PEOPLE ARE WALKING NEAR A MINI TRUCK IN A STREET.
157098,76248,Three giraffes standing up in a field eating leaves off of trees.,3 giraffes standing up in a field eating leaves off of trees.
460347,77750,A white bus driving on a four lane road.,A white bus driving on a 4 lane road.
374727,85517,A street sign showing four different roads on it.,A street sign showing 4 different roads on it.
157098,90339,Two giraffes make contact while a third eats from a tree.,2 giraffes make contact while a third eats from a tree.
157098,90372,Three giraffes are in an enclosure with heads in the air.,3 giraffes are in an enclosure with heads in the air.
215723,96168,Two men smiling and wearing yellow jackets behind construction markers.,2 men smiling and wearing yellow jackets behind construction markers.
157098,96516,Three giraffe's in a green grassy tree filled area.,3 giraffe's in a green grassy tree filled area.
180011,96667,"Four young giraffes in a zoo, with one of them being fed leaves by a person.","4 young giraffes in a zoo, with 1 of them being fed leaves by a person."
173183,98243,two street signs one is green and white the other brown and white.,2 street signs 1 is green and white the other brown and white.
157098,98982,"Three giraffes on a green field with sand, rocks and trees.","3 giraffes on a green field with sand, rocks and trees."
183104,98988,an image of two giraffes in a crate.,an image of 2 giraffes in a crate.
333069,99135,"Two giraffes in the trees, one standing up.","2 giraffes in the trees, 1 standing up."
173183,99881,Two street signs atop a post beneath several trees.,2 street signs atop a post beneath several trees.
180011,100093,A man is offering leaves to four giraffes.,A man is offering leaves to 4 giraffes.
122927,102942,Two adult pheasants walking slowly across a street.,2 adult pheasants walking slowly across a street.
312549,103115,There are two white street signs showing directions.,There are 2 white street signs showing directions.
215723,103653,Two men in neon yellow safety jackets sharing a meal next to a food car.,2 men in neon yellow safety jackets sharing a meal next to a food car.
122927,103758,Two small birds walking on a sidewalk next to patches of grass.,2 small birds walking on a sidewalk next to patches of grass.
180011,104992,a close up of four giraffes next to a man.,a close up of 4 giraffes next to a man.
65455,105050,A group of children feeding two giraffes at a zoo.,A group of children feeding 2 giraffes at a zoo.
183104,107004,Two girrafes sticking their heads through the boards of their stable.,2 girrafes sticking their heads through the boards of their stable.
547383,107523,Two adult sheep lay on the green grass.,2 adult sheep lay on the green grass.
138550,108193,there is a red fire hydrant on a street between two identical white poles.,there is a red fire hydrant on a street between 2 identical white poles.
207728,108495,two white goats in a snowy field look at a tree.,2 white goats in a snowy field look at a tree.
138550,108613,an orange fire hydrant between two white poles on the side of a sidewalk.,an orange fire hydrant between 2 white poles on the side of a sidewalk.
207728,109116,Two white goats standing near some melting snow.,2 white goats standing near some melting snow.
180011,109897,A man feeding four giraffes grass and leaves.,A man feeding 4 giraffes grass and leaves.
180011,110368,A boy feeding four giraffes at a zoo from his hand.,A boy feeding 4 giraffes at a zoo from his hand.
215723,110811,Two men wearing bright yellow construction jackets eating and standing under an orange umbrella.,2 men wearing bright yellow construction jackets eating and standing under an orange umbrella.
207728,110961,Two mountain goats standing outside by the snow.,2 mountain goats standing outside by the snow.
547383,111291,Two sheep sit in a field and look towards the camera.,2 sheep sit in a field and look towards the camera.
215723,112134,Two men in yellow jackets sitting at a table eating.,2 men in yellow jackets sitting at a table eating.
547383,113073,Two sheep lying in green grass have a surprised look for the camera.,2 sheep lying in green grass have a surprised look for the camera.
122927,114309,Two birds walking down the road in the daytime.,2 birds walking down the road in the daytime.
547383,116067,Two sheep lay in the grass and look at the camera.,2 sheep lay in the grass and look at the camera.
183104,117474,The heads of two giraffes sticking out of a building looking around.,The heads of 2 giraffes sticking out of a building looking around.
183104,117801,Two giraffes stick their heads out and get their picture taken.,2 giraffes stick their heads out and get their picture taken.
548780,117817,Two sexy young women sitting on a metal bench in front of flowers.,2 sexy young women sitting on a metal bench in front of flowers.
461573,118357,Two steel benches next to a walk way.,2 steel benches next to a walk way.
476491,118824,an alley between two buildings with a sky in the background.,an alley between 2 buildings with a sky in the background.
547383,119193,two sheep laying in a field of grass.,2 sheep laying in a field of grass.
183104,120579,Two zebras stare at the camera in a zoo.,2 zebras stare at the camera in a zoo.
476491,121494,A narrow road in city between two buildings.,A narrow road in city between 2 buildings.
203294,122116,Three women standing near a bus that has the face of a cat painted on the front.,3 women standing near a bus that has the face of a cat painted on the front.
461573,122800,Two old medal benches are put together on a side walk.,2 old medal benches are put together on a side walk.
235252,124560,THREE GIRAFFES STANDING NEAR A TREE IN A FOREST.,3 GIRAFFES STANDING NEAR A TREE IN A FOREST.
122927,124911,Two game birds with red heads on the sidewalk.,2 game birds with red heads on the sidewalk.
333069,125868,One giraffe is crouched down while another peers out of the shrubbery.,1 giraffe is crouched down while another peers out of the shrubbery.
478862,127016,A large plane with two propellers on it.,A large plane with 2 propellers on it.
579893,127834,The stop sign is at a four way intersection.,The stop sign is at a 4 way intersection.
548780,129994,Two women sitting on a metal park bench.,2 women sitting on a metal park bench.
90208,130050,The picture of three buses on a lot.,The picture of 3 buses on a lot.
90208,131466,Three double decked buses are parked on pavement.,3 double decked buses are parked on pavement.
579893,133543,A red stop sign with two green street signs on top of it.,A red stop sign with 2 green street signs on top of it.
90208,136200,A green and two red double decker tour buses.,A green and 2 red double decker tour buses.
117374,141269,Two cats sitting in the dirt under a tree.,2 cats sitting in the dirt under a tree.
548780,144286,Two people sit on a bench with pigeons and other people nearby.,2 people sit on a bench with pigeons and other people nearby.
548780,146683,Two women sitting on a bench in the park.,2 women sitting on a bench in the park.
261712,148807,Two giraffes at the zoo during the day.,2 giraffes at the zoo during the day.
46497,150813,Two little girls sitting on the side of a white boat.,2 little girls sitting on the side of a white boat.
261712,151030,Two giraffes wander the open park in the same direction.,2 giraffes wander the open park in the same direction.
548780,153388,Two women sitting on a bench with one smoking a cigarette.,2 women sitting on a bench with 1 smoking a cigarette.
165713,153595,A rusted silver fire hydrant next to two poles.,A rusted silver fire hydrant next to 2 poles.
261712,154855,Two giraffe standing next to each other on a dirt road next to a grass field.,2 giraffe standing next to each other on a dirt road next to a grass field.
261712,155362,Two giraffe standing on dirt near flowering trees.,2 giraffe standing on dirt near flowering trees.
503841,155845,two traffic lights in front of a huge building.,2 traffic lights in front of a huge building.
261712,157375,Two giraffes standing on a dirt path in a fenced in area with trees and green grass surrounding them.,2 giraffes standing on a dirt path in a fenced in area with trees and green grass surrounding them.
503841,157555,two street lights that are both on the green light.,2 street lights that are both on the green light.
117374,158267,an image of two cats in a sand lot.,an image of 2 cats in a sand lot.
503841,161878,Two green stop lights in front of a skyscraper.,2 green stop lights in front of a skyscraper.
117374,162218,Two cats by a tree in the dirt.,2 cats by a tree in the dirt.
285894,164765,Some children look at two giraffes in an enclosure.,Some children look at 2 giraffes in an enclosure.
285894,169058,A group of children looking at two giraffes in an enclosure.,A group of children looking at 2 giraffes in an enclosure.
23230,176702,Four geese floating in the middle of a river.,4 geese floating in the middle of a river.
46497,190635,Two girls sitting on device on side of a boat.,2 girls sitting on device on side of a boat.
454661,190977,Three similar cars are stopped at traffic lights.,3 similar cars are stopped at traffic lights.
46497,194655,Two girls are sitting on the edge of a boat looking at the water.,2 girls are sitting on the edge of a boat looking at the water.
216739,194752,This giraffe has two horns on the top of its head.,This giraffe has 2 horns on the top of its head.
185157,198842,A one way sign with a yellow blinking light on top.,A 1 way sign with a yellow blinking light on top.
480842,205138,Two tall giraffe standing next to each other.,2 tall giraffe standing next to each other.
286849,207154,A group of three giraffe standing next to each other behind a rock.,A group of 3 giraffe standing next to each other behind a rock.
369812,209007,"Various street signs including one that reads ""Newlon Hale Village."".","Various street signs including 1 that reads ""Newlon Hale Village.""."
165713,210283,A grey and silver fire hydrant between two barriers.,A grey and silver fire hydrant between 2 barriers.
477118,210613,Various signs in two languages direct tourists in Wales.,Various signs in 2 languages direct tourists in Wales.
305343,215424,Two cups sitting on top of a gray counter.,2 cups sitting on top of a gray counter.
154947,217340,one sheep is standing in some tall grass.,1 sheep is standing in some tall grass.
406997,217788,Two women and several little girls look at a sheep in an area with hay on the ground.,2 women and several little girls look at a sheep in an area with hay on the ground.
62353,217792,Two giraffe walking next to each other in a forest.,2 giraffe walking next to each other in a forest.
165336,218690,Two giraffe standing next to each other on a field.,2 giraffe standing next to each other on a field.
480842,222067,two giraffes and some green trees and yellow flowers.,2 giraffes and some green trees and yellow flowers.
76261,222934,Two birds flying in a gray sky next to a mountain.,2 birds flying in a gray sky next to a mountain.
480842,223966,Two giraffes are peering up above some bushes.,2 giraffes are peering up above some bushes.
480842,224248,Two giraffes are towering over the plants under them.,2 giraffes are towering over the plants under them.
480842,224557,Two top halve of two giraffes walking in trees.,2 top halve of 2 giraffes walking in trees.
463730,227649,Two buses parked in a parking lot next to cars.,2 buses parked in a parking lot next to cars.
286849,228730,Four giraffes look around a rock corner in their enclosure.,4 giraffes look around a rock corner in their enclosure.
430875,228770,A double traffic signal shows three green lights.,A double traffic signal shows 3 green lights.
286849,228799,Four giraffes poking their heads out from behind a rock.,4 giraffes poking their heads out from behind a rock.
286849,229330,Four giraffes sticking their heads through a hole in some large rocks.,4 giraffes sticking their heads through a hole in some large rocks.
430875,229379,Two green lit traffic lights with a blue sky behind them.,2 green lit traffic lights with a blue sky behind them.
165713,230608,a fire hydrant near two small poles on the curb of a street.,a fire hydrant near 2 small poles on the curb of a street.
165713,231151,"The fireplug is positioned between 2 slanted posts, all three of which are dotted with graffiti.","The fireplug is positioned between 2 slanted posts, all 3 of which are dotted with graffiti."
165713,232369,A fire hydrant on a street has two rusty posts beside it.,A fire hydrant on a street has 2 rusty posts beside it.
459500,234348,A clock between two bronze flamingo statues on a black box.,A clock between 2 bronze flamingo statues on a black box.
165336,236402,Two giraffes and one other animal grazing in a field.,2 giraffes and 1 other animal grazing in a field.
165336,236807,Two giraffes next to an antelope in a field.,2 giraffes next to an antelope in a field.
305343,237945,Two ceramic cups - one with a bird and the other with a fox.,2 ceramic cups - 1 with a bird and the other with a fox.
305343,238800,Two cups with painted animal pictures on them.,2 cups with painted animal pictures on them.
165336,240203,Two giraffes and a deer-like animal in a grassy field.,2 giraffes and a deer-like animal in a grassy field.
305343,242736,two cup like things with a bird and a wolf painted on them.,2 cup like things with a bird and a wolf painted on them.
351530,243007,two people sitting on benches with trees in the background.,2 people sitting on benches with trees in the background.
550939,244805,An intersection with two street signs near a palm tree.,An intersection with 2 street signs near a palm tree.
351530,245575,There is a long line of wooden chairs and two women sit.,There is a long line of wooden chairs and 2 women sit.
405205,247052,A bus parked between two trucks in a parking lot.,A bus parked between 2 trucks in a parking lot.
484893,247298,Several sheep are in a pen as some kids stand next to it while one boy has his hand on one of the sheep's head.,Several sheep are in a pen as some kids stand next to it while 1 boy has his hand on 1 of the sheep's head.
484893,247376,Two children petting sheep in a wooden pen with straw bedding.,2 children petting sheep in a wooden pen with straw bedding.
165336,247811,Two giraffe and a zebra are standing in a field.,2 giraffe and a zebra are standing in a field.
76261,247939,Two birds are in flight in front of some mountains.,2 birds are in flight in front of some mountains.
369812,248334,Two signs are displayed on a street light.,2 signs are displayed on a street light.
62353,248971,A photo looking at the back side of two giraffes check out the people.,A photo looking at the back side of 2 giraffes check out the people.
459500,249975,A clock sitting on a post above the statues of two birds.,A clock sitting on a post above the statues of 2 birds.
351530,250564,The two women sit on a bench together.,The 2 women sit on a bench together.
459500,250623,A large clock and two birds make a statue.,A large clock and 2 birds make a statue.
550939,251897,Two street signs are sitting under power lines and a palm tree.,2 street signs are sitting under power lines and a palm tree.
76261,255949,two birds fly in the sky over mountains.,2 birds fly in the sky over mountains.
459500,258102,The statue of two pelicans has a clock above it.,The statue of 2 pelicans has a clock above it.
463730,261876,A street with two busses and people walking.,A street with 2 busses and people walking.
149622,263162,Two small owls on a branch in a tree.,2 small owls on a branch in a tree.
149622,263189,Two owls sitting on the limb of a tree.,2 owls sitting on the limb of a tree.
149622,266327,Two birds perched up on a large tree branch.,2 birds perched up on a large tree branch.
149622,266504,Two owls sitting together on a tree branch.,2 owls sitting together on a tree branch.
577862,267287,Two giraffes standing next to each other in a holding pen.,2 giraffes standing next to each other in a holding pen.
577862,267536,Two giraffe standing next to each other in a field.,2 giraffe standing next to each other in a field.
76261,268024,two birds flying by in front of a mountain.,2 birds flying by in front of a mountain.
76261,268216,Two birds fly through the clouds over a mountain.,2 birds fly through the clouds over a mountain.
577862,268379,The two giraffes are standing next to each other outside.,The 2 giraffes are standing next to each other outside.
95899,270229,Two cranes behind a stop sign and a street sign indicating Fort York Blvd.,2 cranes behind a stop sign and a street sign indicating Fort York Blvd.
134034,270635,Two horses grazing in a fenced in field.,2 horses grazing in a fenced in field.
448810,271180,A street sign with six different locations on it.,A street sign with 6 different locations on it.
284296,272486,Three giraffe's leaning over to get a sip of water.,3 giraffe's leaning over to get a sip of water.
447789,272660,A Do Not Enter Sign with a Two Way Street Sign above it.,A Do Not Enter Sign with a 2 Way Street Sign above it.
448448,275916,Two giraffes grazing on some green leaves in the field.,2 giraffes grazing on some green leaves in the field.
134034,275927,Two brown horses grazing in a field next to a tree.,2 brown horses grazing in a field next to a tree.
448448,278352,Two giraffes grazing from a tree in a field.,2 giraffes grazing from a tree in a field.
284296,278990,three giraffes banding down to drink water with trees in the background.,3 giraffes banding down to drink water with trees in the background.
431876,280274,Four cops on the back of horses stand in the street.,4 cops on the back of horses stand in the street.
284296,280670,Three giraffe drinking from a pond with brush in back.,3 giraffe drinking from a pond with brush in back.
448448,283008,two giraffes eating leaves together off of a tree.,2 giraffes eating leaves together off of a tree.
79188,284723,There are two giraffes sitting together in the wild.,There are 2 giraffes sitting together in the wild.
79188,285122,Two Giraffe are out in the wilderness looking at the camera.,2 Giraffe are out in the wilderness looking at the camera.
79188,286427,Two giraffes are standing in the tall grass.,2 giraffes are standing in the tall grass.
79188,287699,Two giraffes standing in a field looking in the same direction.,2 giraffes standing in a field looking in the same direction.
417876,288182,Two giraffes are standing together outside near a wall.,2 giraffes are standing together outside near a wall.
417876,288230,Two giraffes that are standing near a rock wall.,2 giraffes that are standing near a rock wall.
417876,288371,Two giraffes with the backs turned to the camera next to a wall.,2 giraffes with the backs turned to the camera next to a wall.
417876,290747,Two giraffes in an outdoor setting eating grass.,2 giraffes in an outdoor setting eating grass.
221281,290898,Two giraffes walking around in the grass and dirt.,2 giraffes walking around in the grass and dirt.
417876,291815,Two giraffes in a zoo crane their necks.,2 giraffes in a zoo crane their necks.
221281,293613,two giraffes running across a field in the mud.,2 giraffes running across a field in the mud.
221281,297735,"Three giraffes, one young, in a natural looking habitat.","3 giraffes, 1 young, in a natural looking habitat."
150726,298767,Two giraffes walking next to each other in a field.,2 giraffes walking next to each other in a field.
150726,301635,Two giraffes are walking abreast on the grassy field.,2 giraffes are walking abreast on the grassy field.
150726,301710,Two giraffes walking next to each other.,2 giraffes walking next to each other.
79565,311024,Two giraffes traveling across a rocky terrain with patchy grass.,2 giraffes traveling across a rocky terrain with patchy grass.
79565,312266,two giraffes in an open field with a sky in the background.,2 giraffes in an open field with a sky in the background.
463199,313230,Three people stand posing for a picture on a bus.,3 people stand posing for a picture on a bus.
6040,313586,A five car blue and white train with passengers.,A 5 car blue and white train with passengers.
298697,313607,Two horses in a pasture with buildings in the background.,2 horses in a pasture with buildings in the background.
277051,320119,two little sparrows standing on a table by a knife.,2 little sparrows standing on a table by a knife.
277051,322012,two gray white and brown birds a knife and a red table.,2 gray white and brown birds a knife and a red table.
314541,323575,The bench in the field is empty with no one around it.,The bench in the field is empty with no 1 around it.
151657,323748,There are two people dressed up in formal attire.,There are 2 people dressed up in formal attire.
303908,323868,"Two benches, back to back, near a chain railing.","2 benches, back to back, near a chain railing."
277051,324349,Two sparrows sit n a table with a red tablecloth at an outdoor cafe.,2 sparrows sit n a table with a red tablecloth at an outdoor cafe.
277051,325666,Two birds perched on a table near a plate of food.,2 birds perched on a table near a plate of food.
460379,328052,"Two Giraffes are in the wilderness, possibly eating.","2 Giraffes are in the wilderness, possibly eating."
47010,329665,A pond of water with three giraffe walking in the dirt.,A pond of water with 3 giraffe walking in the dirt.
47010,330946,three giraffes walking on a gravel ground near a body of water.,3 giraffes walking on a gravel ground near a body of water.
460379,332204,three adult giraffes in a field among trees.,3 adult giraffes in a field among trees.
106281,334853,Two trains passing each other on seperate tacks.,2 trains passing each other on seperate tacks.
106281,336086,Two trains pass each other on the railroad tracks.,2 trains pass each other on the railroad tracks.
47010,336796,Three giraffes with heads pointing ahead walk on a dirt path.,3 giraffes with heads pointing ahead walk on a dirt path.
550084,341051,A green sign says Thruway one fourth mile.,A green sign says Thruway 1 fourth mile.
106281,341342,Two trains on the track at a railway.,2 trains on the track at a railway.
534639,342240,A public transit train at one of its stations.,A public transit train at 1 of its stations.
106281,343985,Two passenger trains on opposite tracks speeding down the tracks.,2 passenger trains on opposite tracks speeding down the tracks.
121153,345896,Blue mile marker sign advertising two locations in two languages.,Blue mile marker sign advertising 2 locations in 2 languages.
98261,346884,Two brown and black birds staring on a curved wire.,2 brown and black birds staring on a curved wire.
283318,348311,There is a sign showing a street running one direction.,There is a sign showing a street running 1 direction.
98261,348810,Two yellow birds are standing on an object.,2 yellow birds are standing on an object.
127624,351938,grainy image of two trains on tracks moving through a city.,grainy image of 2 trains on tracks moving through a city.
98261,352008,Two birds standing next to each other on a branch.,2 birds standing next to each other on a branch.
233567,353505,a black goat standing next to two white goats.,a black goat standing next to 2 white goats.
288882,356025,Two large giraffes inside a fenced area interact with one another.,2 large giraffes inside a fenced area interact with 1 another.
432553,356638,"A bike, two dogs and a man sitting on public transportation.","A bike, 2 dogs and a man sitting on public transportation."
563603,357239,The four giraffes are standing next to a tree.,The 4 giraffes are standing next to a tree.
233567,357594,"Several sheep standing in a barn, one is black.","Several sheep standing in a barn, 1 is black."
432553,358261,The view of two dogs inside a bus.,The view of 2 dogs inside a bus.
288882,358608,The back side of two giraffes inside a gated area.,The back side of 2 giraffes inside a gated area.
560371,358620,A two way street sign with one sign that changes from one name to another.,A 2 way street sign with 1 sign that changes from 1 name to another.
432553,359194,Two dogs in the aisle of a bus next to a bicycle.,2 dogs in the aisle of a bus next to a bicycle.
288882,359625,Two giraffes standing next to each other at a zoo.,2 giraffes standing next to each other at a zoo.
288882,362091,Two giraffes are standing next to each other.,2 giraffes are standing next to each other.
563603,362144,Three giraffes standing under a tree by a watering hole.,3 giraffes standing under a tree by a watering hole.
150265,366619,People walking down a city sidewalk showing one with headphones.,People walking down a city sidewalk showing 1 with headphones.
150265,367978,Two people are walking close to each other on the side of the road.,2 people are walking close to each other on the side of the road.
563603,368060,Three giraffes stand by a sparse tree in the bushlands near a source of water.,3 giraffes stand by a sparse tree in the bushlands near a source of water.
33707,372013,Two giraffes are standing next to a building.,2 giraffes are standing next to a building.
33707,372589,Adult giraffe standing next to young one by the building.,Adult giraffe standing next to young 1 by the building.
33707,373948,Two large giraffes inside a fenced area stand together near many rocks.,2 large giraffes inside a fenced area stand together near many rocks.
33707,376285,Two giraffes stand together near rocks and a building.,2 giraffes stand together near rocks and a building.
